,10001_indexed,10002_indexed,10004_indexed,10005_indexed,10006_indexed,10007_indexed,10009_indexed,10014_indexed,10018_indexed,10021_indexed,10023_indexed,10033_indexed,10034_indexed,10038_indexed,10065_indexed,10069_indexed,10075_indexed,10128_indexed,10280_indexed
4/1/09,171.281296,134.9862259,129.7823597,126.0095012,136.7088608,135.1445087,133.5443038,132.6653307,164.5658263,124.2825607,125,,,156.4227642,133.511206,119.0291262,122.5215517,126.9393512,128.6516854
5/1/09,168.0412371,132.9201102,129.3241695,124.8218527,134.1772152,132.6011561,130.3797468,129.258517,159.1036415,121.5231788,122.43083,,,153.9837398,129.9893276,116.5048544,120.9051724,123.8363893,126.9662921
6/1/09,164.8011782,130.5785124,128.6368843,124.3467933,132.6582278,130.6358382,127.3417722,126.0521042,154.7619048,118.9845475,119.1699605,,,150.7317073,126.5741729,113.7864078,119.0732759,121.2976023,124.2977528
7/1/09,161.5611193,128.0991736,127.9495991,123.7529691,130.6329114,129.4797688,124.9367089,123.4468938,153.7815126,116.7770419,116.6996047,,,147.3170732,123.1590181,111.8446602,116.9181034,119.1819464,122.0505618
8/1/09,159.2047128,125.7575758,127.4914089,123.1591449,127.4683544,128.4393064,123.2911392,121.8436874,155.4621849,115.0110375,115.4150198,,,144.8780488,120.2774813,111.3592233,114.2241379,117.2073343,121.488764
9/1/09,157.8792342,123.8292011,126.6895762,123.04038,124.8101266,127.1676301,122.4050633,120.8416834,157.0028011,113.9072848,114.9209486,,,143.7398374,118.6766275,111.2621359,111.7456897,115.5148096,121.6292135
10/1/09,156.8483063,122.7272727,126.002291,123.7529691,122.278481,126.1271676,122.1518987,120.5410822,155.8823529,112.6931567,114.6245059,,,143.4146341,117.9295624,110.9708738,109.4827586,114.3864598,121.2078652
11/1/09,155.6701031,122.5895317,125.4295533,125.0593824,119.8734177,125.0867052,122.6582278,122.0440882,153.7815126,111.8101545,115.0197628,,,143.2520325,118.036286,111.3592233,107.4353448,113.9633286,120.7865169
12/1/09,153.9027982,123.8292011,125.8877434,122.327791,115.9493671,125.6647399,120.2531646,118.8376754,150.9803922,110.3752759,110.9683794,,,144.3902439,116.4354322,110.5825243,106.6810345,114.809591,121.2078652
1/1/10,151.988218,125.2066116,126.9186712,116.8646081,111.2658228,127.6300578,115.5696203,112.5250501,148.5994398,108.4988962,104.743083,,,146.504065,113.2337247,108.6407767,107.4353448,116.3610719,121.2078652
